Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff,C,id
Logistic Lasso5.0,15:15,20,0.9527027027027029,0.030667042480838427,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225225,0.2905405405405405,0.9138648851148852,0.9270016095016096,0.9171242650613024,True,False,675859,959.8083141961212,0.0014201309950686773,0.009383640697272684,75020349,703964,0.000302799844346232,0.2,Logistic Lasso5.015:15TrueFalse
Logistic Lasso2.0,5:10,20,0.9486486486486488,0.04673409855619076,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9296658896658896,0.9072434509934508,0.9143020012628258,True,False,3754678,2352.343299775779,0.0006265099962701939,0.009674115646984692,416769258,4031874,4.7101242769686246e-05,0.5,Logistic Lasso2.05:10TrueFalse
Logistic Lasso1.0,5:10,20,0.9486486486486488,0.04178276982091974,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9304570429570428,0.9052232489732488,0.9134101159567912,True,False,3754678,2352.343299775779,0.0006265099962701939,0.009674115646984692,416769258,4031874,2.455603383299447e-05,1.0,Logistic Lasso1.05:10TrueFalse
Logistic Lasso5.0,5:10,20,0.9486486486486488,0.045945945945945935,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9273697136197138,0.9035908535908536,0.9131389954339544,True,False,3754678,2352.343299775779,0.0006265099962701939,0.009674115646984692,416769258,4031874,9.754498255243193e-05,0.2,Logistic Lasso5.05:10TrueFalse
Logistic Lasso5.0,10:10,20,0.9513513513513514,0.04490066952928688,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765765,0.2783783783783784,0.929643550893551,0.9007536907536908,0.9119957487659736,True,False,617884,921.1807640197444,0.0014908635990246461,0.009496899065167545,68585124,651346,0.00030135106265901035,0.2,Logistic Lasso5.010:10TrueFalse
Logistic Lasso5.0,12:12,20,0.9472972972972972,0.03867321086825455,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9194189655373868,0.9035023310023308,0.9077337445163532,True,False,669413,960.0348951991276,0.0014341443850046651,0.009436302826183214,74304843,701163,0.00027516645180180243,0.2,Logistic Lasso5.012:12TrueFalse
Logistic Lasso2.0,6:6,20,0.9486486486486486,0.0371560191482906,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2770270270270271,0.277027027027027,0.9171399433899432,0.905303169053169,0.9076858226003466,True,False,633060,976.2443341704984,0.001542103961979115,0.009808386720527749,70269660,689232,8.956497014500995e-05,0.5,Logistic Lasso2.06:6TrueFalse
Logistic Lasso2.0,10:10,20,0.9486486486486488,0.04902258688437041,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765765,0.2783783783783784,0.929643550893551,0.8947707847707849,0.9073872357955679,True,False,617884,921.1807640197444,0.0014908635990246461,0.009496899065167545,68585124,651346,0.0001847434146215148,0.5,Logistic Lasso2.010:10TrueFalse
Logistic Lasso5.0,8:10,20,0.9486486486486488,0.031864394925815116,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765766,0.2783783783783784,0.9180658230658232,0.9040760628260628,0.9056802711865641,True,False,1903287,1581.3117972114167,0.0008308320275457232,0.009551342464875736,211264857,2017863,0.0001674996992045866,0.2,Logistic Lasso5.08:10TrueFalse
Logistic Lasso5.0,6:6,20,0.9459459459459459,0.03310121274031321,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2770270270270271,0.277027027027027,0.9173515373515372,0.8977815240315239,0.9034467922858016,True,False,633060,976.2443341704984,0.001542103961979115,0.009808386720527749,70269660,689232,0.00022920418285786494,0.2,Logistic Lasso5.06:6TrueFalse
