Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso0.3,1:3,20,0.8441340782122906,0.026375579070643293,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011172,0.6543624778491919,0.5828628454173959,0.6108047245111636,Flase,False,831570,2978.4677268689684,0.0035817402345791317,0.0037184547671412034,444058380,1651211,0.00017412845581249927
Logistic Lasso1.0,1:3,20,0.8388268156424582,0.024876022920443722,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011172,0.6272813044656659,0.6026638789065477,0.6096321157955371,Flase,False,831570,2978.4677268689684,0.0035817402345791317,0.0037184547671412034,444058380,1651211,0.00021898336880839858
Logistic Lasso2.0,1:3,20,0.8391061452513966,0.026593587118238893,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011172,0.6302112822104893,0.6080538460104281,0.6124429530269324,Flase,False,831570,2978.4677268689684,0.0035817402345791317,0.0037184547671412034,444058380,1651211,0.0002509109275226379
Logistic Lasso5.0,1:3,20,0.8368715083798882,0.02514587136296514,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011172,0.6273030318188366,0.5898939689694197,0.6015564677415521,Flase,False,831570,2978.4677268689684,0.0035817402345791317,0.0037184547671412034,444058380,1651211,0.0003333453587791767
Logistic,1:3,20,0.8740223463687149,0.019551077312399003,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011172,0.7836853530597058,0.5689427005323436,0.6535341928087943,Flase,False,831570,2978.4677268689684,0.0035817402345791317,0.0037184547671412034,444058380,1651211,0.7435726998328464
Logistic Lasso0.3,3:5,20,0.8692737430167599,0.02463174043022189,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21535580524344572,0.21229050279329612,0.8073783761630191,0.5138918684077302,0.6235212027930433,Flase,False,1681122,1541.6121431799893,0.0009170138414582578,0.0024137582503698583,897719148,2166877,5.261367110774828e-05
Logistic Lasso1.0,3:5,20,0.8837988826815641,0.020647730293381367,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21535580524344572,0.21229050279329612,0.8054491468809992,0.6024002969121691,0.6855693656695339,Flase,False,1681122,1541.6121431799893,0.0009170138414582578,0.0024137582503698583,897719148,2166877,0.00011596421913460177
Logistic Lasso2.0,3:5,20,0.8821229050279328,0.020057344213425952,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21535580524344572,0.21229050279329612,0.793395469601671,0.6115956734977603,0.6856673024177687,Flase,False,1681122,1541.6121431799893,0.0009170138414582578,0.0024137582503698583,897719148,2166877,0.0001631648387208067
Logistic Lasso5.0,3:5,20,0.8840782122905029,0.01834878759767037,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21535580524344572,0.21229050279329612,0.8037444062704073,0.6109977986549069,0.6893157412131574,Flase,False,1681122,1541.6121431799893,0.0009170138414582578,0.0024137582503698583,897719148,2166877,0.00025155818554512997
Logistic,3:5,20,0.8860335195530726,0.024184202035657392,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21535580524344572,0.21229050279329612,0.8602930177237074,0.5622090382328359,0.6743524078576429,Flase,False,1681122,1541.6121431799893,0.0009170138414582578,0.0024137582503698583,897719148,2166877,0.9817472497534384
Logistic Lasso0.3,4:6,20,0.8659217877094972,0.023701903279996005,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011177,0.83949070183629,0.461044848311636,0.5911662411551297,Flase,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,4.3897178102215806e-05
Logistic Lasso1.0,4:6,20,0.8913407821229052,0.022587732820719585,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011177,0.8316033614842538,0.6163737936610374,0.7051185963754779,Flase,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.000128571937893292
Logistic Lasso2.0,4:6,20,0.890223463687151,0.024304886450747458,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011177,0.8250125360986406,0.6224446602636352,0.7064036559017774,Flase,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.00022781409879316184
Logistic Lasso5.0,4:6,20,0.8949720670391061,0.021462986270724644,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011177,0.8474419371395958,0.622173919409214,0.71542818119447,Flase,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.0002999269123126014
Logistic,4:6,20,0.8863128491620111,0.02284875223301126,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21507490636704119,0.21312849162011177,0.8515147517796112,0.568080254428123,0.6786604453330243,Flase,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,1.0056054412446298
Logistic Lasso0.3,4:7,20,0.8572625698324021,0.020024251081589683,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21254681647940074,0.22067039106145253,0.8115331328264265,0.4621928351202829,0.5840491089693538,Flase,False,2409663,1727.2776267873096,0.0007168129430494262,0.0022506775975873828,1286760042,2896082,3.255641971512199e-05
Logistic Lasso1.0,4:7,20,0.8770949720670391,0.0214920492309177,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21254681647940074,0.22067039106145253,0.8157246156653091,0.5714386966712636,0.6692974944093916,Flase,False,2409663,1727.2776267873096,0.0007168129430494262,0.0022506775975873828,1286760042,2896082,9.673551861816362e-05
Logistic Lasso2.0,4:7,20,0.8754189944134078,0.024100172748740784,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21254681647940074,0.22067039106145253,0.8025428577904282,0.5774113032781676,0.6693538680652868,Flase,False,2409663,1727.2776267873096,0.0007168129430494262,0.0022506775975873828,1286760042,2896082,0.0001643175829981205
