Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso10.0,1:3,20,0.8513513513513512,0.04720067350425129,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2828828828828829,0.2594594594594594,0.7406709956709957,0.6656049506049505,0.6884163945004904,True,False,804194,4664.682733048412,0.005800444585570661,0.015176148500943265,89265534,1354707,0.00026318276435785396
Logistic Lasso20.0,1:3,20,0.8581081081081081,0.05396952850734015,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2828828828828829,0.2594594594594594,0.7496123321123321,0.6774181374181374,0.6977517730807204,True,False,804194,4664.682733048412,0.005800444585570661,0.015176148500943265,89265534,1354707,0.000385106081368426
Logistic Lasso50.0,1:3,20,0.8608108108108109,0.05423954659564723,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2828828828828829,0.2594594594594594,0.7583075258075259,0.6684709734709735,0.6976082388543688,True,False,804194,4664.682733048412,0.005800444585570661,0.015176148500943265,89265534,1354707,0.0006473562349383358
Logistic Lasso100.0,1:3,20,0.8675675675675677,0.05120890627431464,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2828828828828829,0.2594594594594594,0.7840524753024755,0.668016428016428,0.7080241069559955,True,False,804194,4664.682733048412,0.005800444585570661,0.015176148500943265,89265534,1354707,0.0009173781450744472
Logistic Lasso500.0,1:3,20,0.8608108108108109,0.04544641005621684,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2828828828828829,0.2594594594594594,0.7746814296814297,0.642941364191364,0.693494280431284,True,False,804194,4664.682733048412,0.005800444585570661,0.015176148500943265,89265534,1354707,0.001726884309010015
Logistic Lasso10.0,1:3,20,0.8455307262569832,0.016598384934911274,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21329588014981274,0.21843575418994415,0.6582079346124511,0.6098494473029031,0.6290802472548247,False,False,815765,2951.3291920760043,0.003617866900487278,0.0037248922227845643,435618510,1622632,0.0004383615379429125
Logistic Lasso20.0,1:3,20,0.8525139664804471,0.017701653092463524,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21329588014981274,0.21843575418994415,0.6782910241581479,0.6131900146469536,0.6405769898805508,False,False,815765,2951.3291920760043,0.003617866900487278,0.0037248922227845643,435618510,1622632,0.000603421328446305
Logistic Lasso50.0,1:3,20,0.8622905027932962,0.022365564381101665,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21329588014981274,0.21843575418994415,0.7122664724555643,0.6193138947909513,0.6579027113876419,False,False,815765,2951.3291920760043,0.003617866900487278,0.0037248922227845643,435618510,1622632,0.0010290340968293565
Logistic Lasso100.0,1:3,20,0.8810055865921788,0.022142928695649617,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21329588014981274,0.21843575418994415,0.777962970452295,0.6392705655512295,0.6976942613418186,False,False,815765,2951.3291920760043,0.003617866900487278,0.0037248922227845643,435618510,1622632,0.001412355273884023
Logistic Lasso500.0,1:3,20,0.8829608938547485,0.019946168307756643,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21329588014981274,0.21843575418994415,0.7800494532409228,0.6467721211992382,0.703456394460473,False,False,815765,2951.3291920760043,0.003617866900487278,0.0037248922227845643,435618510,1622632,0.0020255833481456057
