Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
svm,2:2,1,0.7692307692307693,0.0,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2727272727272727,0.34615384615384615,0.6666666666666666,0.6666666666666666,0.6666666666666666
logistic,2:2,1,0.8076923076923077,0.0,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2727272727272727,0.34615384615384615,0.75,0.6666666666666666,0.7058823529411765
logistic_lasso,2:2,1,0.8205128205128205,0.0,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2727272727272727,0.34615384615384615,0.76,0.7037037037037037,0.7307692307692308
Naive Bayes,2:2,1,0.7692307692307693,0.0,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2727272727272727,0.34615384615384615,0.68,0.6296296296296297,0.6538461538461539
svm,2:2,2,0.8397435897435896,0.04487179487179488,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.3116883116883117,0.23076923076923078,0.6349206349206349,0.6944444444444444,0.6623931623931624
logistic,2:2,2,0.8461538461538461,0.038461538461538436,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.3116883116883117,0.23076923076923078,0.6419437340153453,0.7222222222222222,0.6759581881533101
logistic_lasso,2:2,2,0.8589743589743589,0.0,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.3116883116883117,0.23076923076923078,0.6594202898550725,0.8055555555555556,0.7248280175109444
Naive Bayes,2:2,2,0.7756410256410257,0.0064102564102563875,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.3116883116883117,0.23076923076923078,0.5108695652173914,0.7222222222222222,0.5970307529162249
svm,2:2,3,0.8974358974358975,0.04187161953475517,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.30303030303030304,0.2564102564102564,0.8210199411572409,0.8011463844797179,0.8011553663727576
logistic,2:2,3,0.8888888888888888,0.04358136336404088,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.30303030303030304,0.2564102564102564,0.8141186299081036,0.769400352733686,0.782396347613739
logistic_lasso,2:2,3,0.8803418803418803,0.04720239750934728,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.30303030303030304,0.2564102564102564,0.7702991452991453,0.7592592592592592,0.7633986928104576
Naive Bayes,2:2,3,0.7905982905982906,0.031979977664734566,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.30303030303030304,0.2564102564102564,0.5745614035087719,0.6697530864197531,0.6101061213015672
svm,2:2,4,0.8525641025641026,0.019230769230769218,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.7476364522417154,0.7030654080854308,0.721374229006168
logistic,2:2,4,0.858974358974359,0.025641025641025605,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.7737499999999999,0.6926487414187643,0.7295206454674894
logistic_lasso,2:2,4,0.8846153846153846,0.03140371465106637,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.7992213804713805,0.7883056826849733,0.7914027149321267
Naive Bayes,2:2,4,0.7724358974358974,0.027757224480270463,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.5756373256373256,0.6369183829138063,0.6033420732634139
svm,2:2,5,0.8820512820512821,0.029681633084077525,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7975252525252525,0.7906949716949716,0.7922727693816635
logistic,2:2,5,0.8846153846153847,0.03243361702736801,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.8155411255411256,0.7798103563103563,0.7918088627526593
logistic_lasso,2:2,5,0.8846153846153847,0.02923526731023433,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7927666894509,0.8096173826173827,0.7982327399044724
Naive Bayes,2:2,5,0.8333333333333334,0.038886540738725904,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7103678929765886,0.7166152181152181,0.709383498080083
svm,2:2,6,0.8867521367521368,0.030890667296583258,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2857142857142857,0.30769230769230765,0.8322344766852776,0.8023259952607779,0.8120451461180944
logistic,2:2,6,0.8867521367521368,0.02271398677934754,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2857142857142857,0.30769230769230765,0.8335759854180907,0.8029847567891046,0.8130551009274414
logistic_lasso,2:2,6,0.905982905982906,0.030218238512245626,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2857142857142857,0.30769230769230765,0.8448930296756383,0.8581554315249967,0.8468681376125203
Naive Bayes,2:2,6,0.8418803418803417,0.040316158684002575,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2857142857142857,0.30769230769230765,0.765993265993266,0.7122382448469405,0.7360188788563495
svm,2:2,7,0.868131868131868,0.024435282168729557,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29251700680272114,0.2875457875457875,0.8005414023316836,0.716654192041189,0.7513749463749463
logistic,2:2,7,0.8461538461538461,0.03626188621469474,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29251700680272114,0.2875457875457875,0.7947045484860612,0.6199596275757268,0.6899051979305533
logistic_lasso,2:2,7,0.8809523809523808,0.044260241661518575,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29251700680272114,0.2875457875457875,0.8113475964815311,0.7603634652241463,0.7831627690416171
Naive Bayes,2:2,7,0.8003663003663003,0.042717596299232975,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29251700680272114,0.2875457875457875,0.6607746639325587,0.649451003073294,0.6473926193602744
svm,2:2,8,0.8653846153846154,0.05128205128205128,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.288961038961039,0.298076923076923,0.8023182957393484,0.7391360089186175,0.768259123196822
logistic,2:2,8,0.8766025641025641,0.05322346764556287,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.288961038961039,0.298076923076923,0.8395296954507481,0.7332664437012263,0.7813991251325557
logistic_lasso,2:2,8,0.8798076923076923,0.0452990193112262,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.288961038961039,0.298076923076923,0.8220479430270452,0.7694586120401338,0.7932368409577056
Naive Bayes,2:2,8,0.8125,0.03948296472677857,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.288961038961039,0.298076923076923,0.7083848443223443,0.6546375816212773,0.6749652172554094
svm,2:2,9,0.8760683760683761,0.036762073790780454,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2958152958152958,0.2777777777777778,0.7878665603684674,0.7675973027635431,0.7747273209786386
logistic,2:2,9,0.8732193732193733,0.049633194843830074,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2958152958152958,0.2777777777777778,0.8017881602401727,0.7371828181291096,0.7636965718678153
logistic_lasso,2:2,9,0.878917378917379,0.05237828008789241,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2958152958152958,0.2777777777777778,0.8148177542621986,0.7496923295516644,0.7737326716504304
Naive Bayes,2:2,9,0.8062678062678063,0.03388996368481571,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2958152958152958,0.2777777777777778,0.6617735475331831,0.6242658639078076,0.6399737368840608
svm,2:2,10,0.8782051282051281,0.031008683647302106,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28787878787878785,0.30128205128205127,0.8376269539676459,0.7536284959024246,0.7889423129084266
logistic,2:2,10,0.8782051282051283,0.03941134909984462,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28787878787878785,0.30128205128205127,0.8648881383494388,0.7244134250752652,0.7848840756172655
logistic_lasso,2:2,10,0.8833333333333334,0.025927882584816275,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28787878787878785,0.30128205128205127,0.8333154980703774,0.7729211000180778,0.7977101212204327
Naive Bayes,2:2,10,0.8294871794871794,0.04215200569941949,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28787878787878785,0.30128205128205127,0.7502739156343275,0.6748740761198349,0.705630650315747
svm,2:2,11,0.8741258741258743,0.03819573335238681,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29122392758756394,0.2913752913752914,0.8128851839513375,0.7423714313562453,0.771630313712085
logistic,2:2,11,0.8694638694638694,0.03659747894663773,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29122392758756394,0.2913752913752914,0.8189684708537424,0.7177216088813758,0.7614582216890606
logistic_lasso,2:2,11,0.9055944055944056,0.026932913772240913,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29122392758756394,0.2913752913752914,0.8579621560765479,0.8138981675698964,0.8319331147697131
Naive Bayes,2:2,11,0.8088578088578089,0.05284747808277217,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29122392758756394,0.2913752913752914,0.6822323734155593,0.6864851832170324,0.6792816403681938
svm,2:2,12,0.8600427350427351,0.04035860420411133,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29365079365079366,0.28418803418803423,0.7803237342367777,0.7171422558922559,0.7391897642147806
