Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1:1,10,0.7842696629213484,0.02305425227941933,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21666666666666665,0.2095505617977528,0.48987346821933286,0.5253511495014663,0.5033809959618661,Flase
logistic,1:1,10,0.8314606741573034,0.02041112598267972,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21666666666666665,0.2095505617977528,0.6195694533291863,0.5267040775078611,0.5654804793666897,Flase
logistic_lasso,1:1,10,0.8331460674157304,0.013999927858850686,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21666666666666665,0.2095505617977528,0.615071569431152,0.5614412364787212,0.5835287440924566,Flase
Naive Bayes,1:1,10,0.7719101123595506,0.0374513108146044,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21666666666666665,0.2095505617977528,0.4733518620303812,0.6713381948810165,0.5530451123967947,Flase
svm,2:2,10,0.8623595505617976,0.025029965629152207,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21554307116104865,0.2129213483146067,0.7567350964877202,0.5252453348513135,0.617008711693194,Flase
logistic,2:2,10,0.8646067415730337,0.01985460342367674,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21554307116104865,0.2129213483146067,0.7892127365535073,0.49809887130873626,0.607469327188585,Flase
logistic_lasso,2:2,10,0.8567415730337078,0.02626066492701179,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21554307116104865,0.2129213483146067,0.6896008300330095,0.5856782634867534,0.6319123862334208,Flase
Naive Bayes,2:2,10,0.8511235955056179,0.027436214487808502,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21554307116104865,0.2129213483146067,0.7236540727493235,0.5044788142951664,0.5900465299108848,Flase
svm,3:3,10,0.8904494382022472,0.021502987875286116,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21629213483146068,0.2106741573033708,0.8526067614302908,0.5888945583240529,0.6932536005284017,Flase
logistic,3:3,10,0.8893258426966293,0.025994910789346678,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21629213483146068,0.2106741573033708,0.8855026455026456,0.5500528593173852,0.6742692020238983,Flase
logistic_lasso,3:3,10,0.8814606741573033,0.028252339237483503,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21629213483146068,0.2106741573033708,0.8034139230571455,0.5822682873082471,0.6721464830376237,Flase
Naive Bayes,3:3,10,0.8634831460674157,0.021910112359550555,712,0.75,complex,02/02/2000,01/09/2019,minutes:statements:speeches,0.21629213483146068,0.2106741573033708,0.7159393108221492,0.595211199674039,0.6442729547317263,Flase
