Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
svm,1,20,0.774358974,0.035897436,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.292640693,0.287179487,0.603441434,0.659599537,0.623342225
logistic,1,20,0.805128205,0.037509587,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.292640693,0.287179487,0.665317149,0.665646691,0.658975458
logistic_lasso,1,20,0.815384615,0.042404706,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.292640693,0.287179487,0.689401003,0.684267241,0.677560668
Naive Bayes,1,20,0.680769231,0.037575259,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.292640693,0.287179487,0.466634592,0.793635174,0.584274034
svm,2,20,0.88525641,0.025147494,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.293290043,0.28525641,0.824724899,0.763757868,0.7885119
logistic,2,20,0.881410256,0.030304991,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.293290043,0.28525641,0.82694067,0.7440589,0.778704489
logistic_lasso,2,20,0.887179487,0.024189695,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.293290043,0.28525641,0.81177166,0.791698862,0.797288318
Naive Bayes,2,20,0.817307692,0.039071026,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.293290043,0.28525641,0.681746524,0.707507593,0.687779502
svm,3,20,0.86474359,0.028803387,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.285714286,0.307692308,0.790610875,0.76798109,0.774613361
logistic,3,20,0.858333333,0.03354837,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.285714286,0.307692308,0.815378524,0.703663656,0.751872735
logistic_lasso,3,20,0.900641026,0.021785443,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.285714286,0.307692308,0.854506656,0.821745428,0.834456235
Naive Bayes,3,20,0.799358974,0.044462418,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.285714286,0.307692308,0.680440877,0.69492341,0.679744114
svm,4,20,0.869230769,0.036397614,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.291558442,0.290384615,0.822284382,0.714145403,0.756935059
logistic,4,20,0.858974359,0.038461538,309,0.75,complex,2/2/2000,1/9/2019,statements:minutes,0.291558442,0.290384615,0.82934301,0.660402762,0.728128465
