Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1,10,0.837837838,0.034186786,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.28018018,0.267567568,0.686031746,0.708398268,0.692276485,TRUE
logistic,1,10,0.840540541,0.040899313,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.28018018,0.267567568,0.700342713,0.685021645,0.688103517,TRUE
logistic_lasso,1,10,0.816216216,0.056434089,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.28018018,0.267567568,0.636410256,0.73521645,0.676987771,TRUE
Naive Bayes,1,10,0.67027027,0.041519707,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.28018018,0.267567568,0.433220578,0.812496392,0.563192432,TRUE
svm,2,10,0.821621622,0.070684848,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.267567568,0.305405405,0.817536075,0.549220779,0.647121369,TRUE
logistic,2,10,0.832432432,0.067079317,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.267567568,0.305405405,0.869123377,0.541528472,0.657017443,TRUE
logistic_lasso,2,10,0.843243243,0.058966011,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.267567568,0.305405405,0.76998366,0.740104063,0.743436721,TRUE
Naive Bayes,2,10,0.8,0.048648649,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.267567568,0.305405405,0.796049784,0.529742757,0.605571722,TRUE
svm,3,10,0.848648649,0.043913721,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.281081081,0.264864865,0.85047619,0.546917249,0.654498769,TRUE
logistic,3,10,0.856756757,0.036361146,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.281081081,0.264864865,0.88452381,0.539224942,0.662656664,TRUE
logistic_lasso,3,10,0.878378378,0.054390843,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.281081081,0.264864865,0.831083916,0.727488345,0.765941232,TRUE
Naive Bayes,3,10,0.762162162,0.090288071,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.281081081,0.264864865,0.577927774,0.621402486,0.586508564,TRUE
svm,5,10,0.856756757,0.068426967,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.877936508,0.619430569,0.709031459,TRUE
logistic,5,10,0.851351351,0.074753063,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.876825397,0.605621046,0.695701939,TRUE
logistic_lasso,5,10,0.921621622,0.047509178,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.900560551,0.836250971,0.863334182,TRUE
Naive Bayes,5,10,0.778378378,0.037837838,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.589749549,0.764449439,0.653965054,TRUE
svm,10,10,0.816216216,0.07027027,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.262162162,0.321621622,0.872929293,0.540118215,0.631600234,TRUE
logistic,10,10,0.816216216,0.07027027,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.262162162,0.321621622,0.872929293,0.540118215,0.631600234,TRUE
logistic_lasso,10,10,0.921621622,0.040899313,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.262162162,0.321621622,0.921163004,0.844562937,0.867248341,TRUE
Naive Bayes,10,10,0.794594595,0.058217998,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.262162162,0.321621622,0.660304549,0.785520313,0.705410834,TRUE
svm,15,10,0.883783784,0.051351351,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.284684685,0.254054054,0.875595238,0.674437229,0.747771512,TRUE
logistic,15,10,0.883783784,0.051351351,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.284684685,0.254054054,0.875595238,0.674437229,0.747771512,TRUE
logistic_lasso,15,10,0.940540541,0.037837838,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.284684685,0.254054054,0.906314519,0.882792208,0.883670255,TRUE
Naive Bayes,15,10,0.843243243,0.065981382,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.284684685,0.254054054,0.654835434,0.907683983,0.744102018,TRUE
svm,20,10,0.859459459,0.055124535,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272072072,0.291891892,0.882575758,0.592673438,0.701149362,TRUE
logistic,20,10,0.859459459,0.055124535,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272072072,0.291891892,0.882575758,0.592673438,0.701149362,TRUE
logistic_lasso,20,10,0.894594595,0.035135135,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272072072,0.291891892,0.883589744,0.761289266,0.802244015,TRUE
Naive Bayes,20,10,0.837837838,0.052685375,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272072072,0.291891892,0.68506469,0.827486957,0.745633373,TRUE
svm,30,10,0.908108108,0.036661243,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.285585586,0.251351351,0.869357864,0.761226551,0.799473089,TRUE
logistic,30,10,0.908108108,0.036661243,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.285585586,0.251351351,0.869357864,0.761226551,0.799473089,TRUE
logistic_lasso,30,10,0.92972973,0.036661243,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.285585586,0.251351351,0.886782107,0.814300144,0.845082559,TRUE
Naive Bayes,30,10,0.894594595,0.049022587,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.285585586,0.251351351,0.733959374,0.928239538,0.815121212,TRUE
svm,40,10,0.905405405,0.034716845,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.854949495,0.741580087,0.78720487,TRUE
logistic,40,10,0.905405405,0.034716845,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.854949495,0.741580087,0.78720487,TRUE
logistic_lasso,40,10,0.910810811,0.032092816,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.89459596,0.71527417,0.786987457,TRUE
Naive Bayes,40,10,0.891891892,0.038221988,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.759295704,0.862853535,0.797992125,TRUE
svm,60,10,0.851351351,0.048723666,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.876269841,0.586858974,0.684314083,TRUE
logistic,60,10,0.854054054,0.051564281,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.892936508,0.586858974,0.689808588,TRUE
logistic_lasso,60,10,0.810810811,0.08374018,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.896666667,0.39957265,0.527674869,TRUE
