Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1:1,20,0.8040540540540542,0.0597505161336058,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.6356700244200243,0.6324468586968587,0.6215263035524174,True
logistic,1:1,20,0.8135135135135136,0.051208906274314646,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.6696120546120545,0.6109083971583972,0.6250528839925125,True
logistic_lasso,1:1,20,0.8202702702702703,0.07062023043488604,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.6884569597069599,0.6668974081474082,0.6612637385647211,True
Naive Bayes,1:1,20,0.6783783783783784,0.0677834389404565,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.4386109102885419,0.74123223998224,0.546015012683582,True
svm,2:2,20,0.8432432432432432,0.049541358864387465,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801802,0.26756756756756755,0.7545382395382396,0.5888392163392163,0.6493495363799241,True
logistic,2:2,20,0.8432432432432432,0.04490066952928688,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801802,0.26756756756756755,0.7773502886002885,0.5639528527028527,0.6399069197056814,True
logistic_lasso,2:2,20,0.8472972972972972,0.059994521298440844,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801802,0.26756756756756755,0.7352738927738928,0.7076330613830615,0.7098291061774706,True
Naive Bayes,2:2,20,0.8283783783783782,0.06119995607688786,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801802,0.26756756756756755,0.7664502164502165,0.5573812298812297,0.6286285901920576,True
svm,3:3,20,0.854054054054054,0.03860231582996135,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8300992063492064,0.5665115440115439,0.6636283242900889,True
logistic,3:3,20,0.8567567567567569,0.039259024449551205,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8535119047619049,0.5519282106782105,0.6616305881940556,True
logistic_lasso,3:3,20,0.8932432432432431,0.04140960390822854,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.81376443001443,0.7772204184704186,0.7851570050550399,True
Naive Bayes,3:3,20,0.7527027027027027,0.08893288315552918,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.5304301290814448,0.6556277056277057,0.5792806205155177,True
svm,4:4,20,0.8608108108108109,0.051475667445245704,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225224,0.29054054054054057,0.9145364357864357,0.592939491064491,0.7109851693713922,True
logistic,4:4,20,0.8621621621621621,0.04976203416087019,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225224,0.29054054054054057,0.9256475468975468,0.5879394910644911,0.7103943540979144,True
logistic_lasso,4:4,20,0.9391891891891893,0.031835726998350675,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225224,0.29054054054054057,0.9198174048174048,0.8776107226107225,0.8943933526843846,True
Naive Bayes,4:4,20,0.7675675675675675,0.07221832008587777,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225224,0.29054054054054057,0.6063837843443107,0.6841608391608391,0.6303700862349466,True
svm,5:5,20,0.8716216216216216,0.04671455680390162,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2711711711711712,0.2945945945945946,0.9276388888888889,0.6163519813519813,0.7310533867016906,True
logistic,5:5,20,0.8689189189189189,0.04544641005621684,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2711711711711712,0.2945945945945946,0.918611111111111,0.6113519813519813,0.7254560600517324,True
logistic_lasso,5:5,20,0.922972972972973,0.03552280926512139,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2711711711711712,0.2945945945945946,0.9238041125541125,0.8098029748029749,0.8553236045710472,True
Naive Bayes,5:5,20,0.7756756756756757,0.07455737418450661,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2711711711711712,0.2945945945945946,0.6168117503411621,0.7545475357975359,0.6667824513439449,True
svm,6:6,20,0.845945945945946,0.0622795601178536,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277927927927928,0.27432432432432435,0.8088278388278388,0.5844426406926407,0.6669695153487722,True
logistic,6:6,20,0.8472972972972974,0.06296485274173917,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277927927927928,0.27432432432432435,0.8213278388278388,0.5798971861471862,0.6670920643683801,True
logistic_lasso,6:6,20,0.9459459459459459,0.030815552029706428,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277927927927928,0.27432432432432435,0.9257930957930958,0.8739430014430013,0.8959645282110588,True
Naive Bayes,6:6,20,0.7864864864864864,0.08058406224797608,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277927927927928,0.27432432432432435,0.5985341211076506,0.7493028499278498,0.6515507233282425,True
svm,7:7,20,0.8486486486486488,0.05156428115767274,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277027027027027,0.2770270270270271,0.8723394660894661,0.5358682983682984,0.6478237816198847,True
logistic,7:7,20,0.8486486486486488,0.05012766754322003,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277027027027027,0.2770270270270271,0.8730537518037517,0.535173853923854,0.6491516204477235,True
logistic_lasso,7:7,20,0.9337837837837837,0.0439760543115486,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277027027027027,0.2770270270270271,0.9101875901875902,0.8500446775446775,0.869987287812769,True
Naive Bayes,7:7,20,0.8013513513513514,0.07113552534190194,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277027027027027,0.2770270270270271,0.6317768963492647,0.742306721056721,0.6701679127617591,True
svm,8:8,20,0.8581081081081082,0.051899633431544655,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.8296320346320346,0.5763937451437451,0.6646505515468363,True
logistic,8:8,20,0.8594594594594595,0.05309968298483379,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.8303896103896105,0.5809391996891996,0.6672197215073106,True
logistic_lasso,8:8,20,0.9324324324324325,0.03774118930748364,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.8899958374958375,0.8368707681207681,0.8569391869067802,True
