Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1:1,20,0.8142458100558659,0.019503128552749917,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.21620111731843578,0.5697578759126914,0.573047270023578,0.5678987501744208,Flase
logistic,1:1,20,0.8438547486033519,0.022656713689266663,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.21620111731843578,0.6634527616295016,0.5723232976460493,0.6109419235164343,Flase
logistic_lasso,1:1,20,0.8268156424581006,0.021346338742505938,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.21620111731843578,0.6098423680438522,0.5442264472917098,0.5722051188676524,Flase
Naive Bayes,1:1,20,0.7689944134078212,0.022155258211847398,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.21620111731843578,0.473093122694316,0.6602064725247876,0.5496963594443791,Flase
svm,2:2,20,0.8756983240223464,0.024085599457876885,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2107677902621723,0.22597765363128489,0.8151147104529457,0.5922462276893367,0.6810245999245021,Flase
logistic,2:2,20,0.8762569832402235,0.021728540197870842,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2107677902621723,0.22597765363128489,0.8537712104942509,0.5565012426067052,0.6673648102277966,Flase
logistic_lasso,2:2,20,0.8636871508379889,0.02326331040632068,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2107677902621723,0.22597765363128489,0.7444359257431177,0.6178966972058216,0.6705195883056139,Flase
Naive Bayes,2:2,20,0.8477653631284916,0.02875195988803767,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2107677902621723,0.22597765363128489,0.7625817940822032,0.4940503356994574,0.5895343110404444,Flase
svm,3:3,20,0.8860335195530726,0.02251334265878199,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21226591760299623,0.22150837988826816,0.8650673055930627,0.5755528762993865,0.6865039507326732,Flase
logistic,3:3,20,0.8829608938547485,0.024317724104594263,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21226591760299623,0.22150837988826816,0.8821558985573741,0.5463231943616612,0.669263379416525,Flase
logistic_lasso,3:3,20,0.8787709497206706,0.021133274099863385,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21226591760299623,0.22150837988826816,0.8204127733321446,0.5810470745432578,0.6763032674185139,Flase
Naive Bayes,3:3,20,0.8592178770949721,0.024770725449603747,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21226591760299623,0.22150837988826816,0.7238327436392052,0.6017186292203889,0.6497870750475209,Flase
svm,4:4,20,0.8921787709497206,0.01983830268666447,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21694756554307112,0.20754189944134077,0.8537965599007341,0.5822977255575648,0.6892670130774282,Flase
logistic,4:4,20,0.8860335195530726,0.02306119267100593,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21694756554307112,0.20754189944134077,0.8634069204589799,0.5399190466163125,0.6615794193148848,Flase
logistic_lasso,4:4,20,0.8916201117318436,0.020404449572904673,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21694756554307112,0.20754189944134077,0.8545710558602139,0.5870263314073818,0.6909718334944819,Flase
Naive Bayes,4:4,20,0.8581005586592179,0.0275617796280313,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21694756554307112,0.20754189944134077,0.6529833880803615,0.6750944026548769,0.6589839273603653,Flase
svm,5:5,20,0.8843575418994412,0.027431248485342827,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21413857677902626,0.21592178770949721,0.8791074962914855,0.5414662403550269,0.6660823258959563,Flase
logistic,5:5,20,0.8807262569832401,0.02715537815224967,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21413857677902626,0.21592178770949721,0.8844214966194859,0.518409147922825,0.6495091626781088,Flase
logistic_lasso,5:5,20,0.8835195530726256,0.027270067198781524,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21413857677902626,0.21592178770949721,0.8729426389879616,0.544593107233676,0.6686928171992015,Flase
Naive Bayes,5:5,20,0.8511173184357543,0.03325195793062651,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21413857677902626,0.21592178770949721,0.6513205786810634,0.680180906177753,0.6640647437211833,Flase
svm,6:6,20,0.8891061452513966,0.014273169040269523,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2138576779026217,0.21675977653631281,0.8956621748902464,0.5494611762497952,0.6770511589959145,Flase
logistic,6:6,20,0.8849162011173185,0.015441648001212576,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2138576779026217,0.21675977653631281,0.8931988881740034,0.5297050685953276,0.6601786671760606,Flase
logistic_lasso,6:6,20,0.8879888268156424,0.01652300158789972,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2138576779026217,0.21675977653631281,0.892470051938315,0.5503174600906477,0.6776217603486301,Flase
Naive Bayes,6:6,20,0.8541899441340783,0.020895647161189985,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2138576779026217,0.21675977653631281,0.6485758616130393,0.7120714115192666,0.6762829815807428,Flase
svm,7:7,20,0.8840782122905028,0.03169498803885536,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21301498127340826,0.21927374301675978,0.8692444805405793,0.5581438435511232,0.6755978391999335,Flase
logistic,7:7,20,0.8824022346368714,0.031228750460778817,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21301498127340826,0.21927374301675978,0.8820563685034903,0.5399012605014487,0.6643384991925121,Flase
