Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1:1,3,0.8063314711359405,0.002633544808888416,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22097378277153557,0.19553072625698323,0.5121216915236849,0.6105413105413106,0.5472339428035631,Flase
logistic,1:1,3,0.8566108007448788,0.025122416318867878,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22097378277153557,0.19553072625698323,0.6416035353535353,0.6172364672364672,0.626059996648232,Flase
logistic_lasso,1:1,3,0.8417132216014899,0.03037152035437634,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22097378277153557,0.19553072625698323,0.5915926179084073,0.6075498575498576,0.597020097020097,Flase
Naive Bayes,1:1,3,0.7579143389199254,0.022958711370461755,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22097378277153557,0.19553072625698323,0.42458566024139793,0.6833333333333332,0.5234570519618239,Flase
svm,2:2,3,0.8789571694599627,0.010534179235553769,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21410736579275905,0.21601489757914338,0.7741025203390794,0.6228956228956228,0.6868827781503838,Flase
logistic,2:2,3,0.8789571694599627,0.025122416318867857,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21410736579275905,0.21601489757914338,0.8141880341880342,0.5757575757575758,0.6704775666907504,Flase
logistic_lasso,2:2,3,0.8770949720670392,0.0228071670650203,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21410736579275905,0.21601489757914338,0.7318699818699819,0.6893939393939394,0.7057094757094758,Flase
Naive Bayes,2:2,3,0.839851024208566,0.018990761689358635,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21410736579275905,0.21601489757914338,0.6550245098039216,0.5538720538720538,0.5983930414270971,Flase
svm,3:3,3,0.8864059590316572,0.005267089617776884,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.8794538794538794,0.5619619619619619,0.6849364207153852,Flase
logistic,3:3,3,0.8901303538175047,0.011479355685230879,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.9371345029239766,0.5365365365365365,0.6809133489461359,Flase
logistic_lasso,3:3,3,0.8659217877094972,0.0,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.8034381077859338,0.5153153153153153,0.6261715296198055,Flase
Naive Bayes,3:3,3,0.8472998137802606,0.026335448088884474,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.7250280583613916,0.5201201201201201,0.6019841269841271,Flase
