Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
MultiNB0.0,10:10,20,0.8270270270270272,0.04473769015472122,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.6653477078477079,0.7484043734043733,0.6874776759188522,True,False,576844,868.9205947611093,0.0015063354993050276,0.00954752486362419,64029684,611325,1.0708368293680788
MultiNB0.5,10:10,20,0.7837837837837838,0.0709941920895335,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.573604271115881,0.8227766677766677,0.6653702197352873,True,False,576844,868.9205947611093,0.0015063354993050276,0.00954752486362419,64029684,611325,1.0708368293680788
MultiNB1.0,10:10,20,0.7972972972972973,0.06864013567135295,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.5999213531566473,0.8003590853590854,0.6740356559981746,True,False,576844,868.9205947611093,0.0015063354993050276,0.00954752486362419,64029684,611325,1.0708368293680788
MultiNB2.0,10:10,20,0.8162162162162161,0.07231939546086297,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.6465975690975692,0.7753374403374405,0.6895725762564908,True,False,576844,868.9205947611093,0.0015063354993050276,0.00954752486362419,64029684,611325,1.0708368293680788
MultiNB15.0,10:10,20,0.8405405405405405,0.06216216216216216,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28108108108108104,0.26486486486486494,0.7354743867243867,0.6989269064269064,0.6948639859452552,True,False,576844,868.9205947611093,0.0015063354993050276,0.00954752486362419,64029684,611325,1.0708368293680788
MultiNB0.0,10:15,20,0.8472972972972972,0.05218036371975087,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27297297297297296,0.2891891891891892,0.7305665127356303,0.7351404151404152,0.72321941827591,True,False,3605112,2195.1845024963163,0.0006089088223878527,0.00944253004577344,400167432,3778593,1.068895945535118
MultiNB0.5,10:15,20,0.8297297297297297,0.06735100429393034,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27297297297297296,0.2891891891891892,0.6593582722317243,0.8135042735042735,0.7192204488273017,True,False,3605112,2195.1845024963163,0.0006089088223878527,0.00944253004577344,400167432,3778593,1.068895945535118
MultiNB1.0,10:15,20,0.8378378378378379,0.07352146220938076,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27297297297297296,0.2891891891891892,0.6848238051508175,0.7858547008547009,0.7222716878342321,True,False,3605112,2195.1845024963163,0.0006089088223878527,0.00944253004577344,400167432,3778593,1.068895945535118
MultiNB2.0,10:15,20,0.835135135135135,0.06446951590203548,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27297297297297296,0.2891891891891892,0.6969963818860878,0.7434371184371185,0.7086860250553668,True,False,3605112,2195.1845024963163,0.0006089088223878527,0.00944253004577344,400167432,3778593,1.068895945535118
MultiNB15.0,10:15,20,0.8527027027027028,0.06011615248523033,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27297297297297296,0.2891891891891892,0.7785349372849373,0.6868956043956044,0.7178672238220293,True,False,3605112,2195.1845024963163,0.0006089088223878527,0.00944253004577344,400167432,3778593,1.068895945535118
MultiNB0.0,1:1,20,0.672972972972973,0.044327620180693854,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.4197212142432731,0.7122964535464535,0.5208732508745626,True,False,16416,4613.553619499832,0.28104005966738743,0.10572195002019563,1822176,192644,0.9687347709551657
MultiNB0.5,1:1,20,0.6716216216216215,0.04210928770508888,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.41874354390879154,0.7521898934398936,0.5326678261810056,True,False,16416,4613.553619499832,0.28104005966738743,0.10572195002019563,1822176,192644,0.9687347709551657
MultiNB1.0,1:1,20,0.6743243243243244,0.04051801175828365,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.4213048240029664,0.7447723110223111,0.5326831490933874,True,False,16416,4613.553619499832,0.28104005966738743,0.10572195002019563,1822176,192644,0.9687347709551657
MultiNB2.0,1:1,20,0.6824324324324325,0.04825289478745169,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.43075475178416356,0.7143352480852482,0.5296687655450774,True,False,16416,4613.553619499832,0.28104005966738743,0.10572195002019563,1822176,192644,0.9687347709551657
MultiNB15.0,1:1,20,0.737837837837838,0.07052966676053994,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28198198198198193,0.2621621621621622,0.0,0.0,0.0,True,False,16416,4613.553619499832,0.28104005966738743,0.10572195002019563,1822176,192644,0.9687347709551657
MultiNB0.0,1:2,20,0.8108108108108107,0.06995772489483668,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27477477477477474,0.2837837837837838,0.8837896825396825,0.40337801087801084,0.5303144731085908,True,False,307408,4216.199592049693,0.013715321631348868,0.020840952986505477,34122288,711141,1.0250190300837974
MultiNB0.5,1:2,20,0.7364864864864866,0.07444707308561793,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27477477477477474,0.2837837837837838,0.5605334805373505,0.6165680153180153,0.5586843790161867,True,False,307408,4216.199592049693,0.013715321631348868,0.020840952986505477,34122288,711141,1.0250190300837974
MultiNB1.0,1:2,20,0.7824324324324324,0.08039120928505863,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27477477477477474,0.2837837837837838,0.8885714285714286,0.3265462315462315,0.43376453955401334,True,False,307408,4216.199592049693,0.013715321631348868,0.020840952986505477,34122288,711141,1.0250190300837974
MultiNB2.0,1:2,20,0.7162162162162162,0.06969619977420338,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27477477477477474,0.2837837837837838,0.0,0.0,0.0,True,False,307408,4216.199592049693,0.013715321631348868,0.020840952986505477,34122288,711141,1.0250190300837974
MultiNB15.0,1:2,20,0.7162162162162162,0.06969619977420338,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27477477477477474,0.2837837837837838,0.0,0.0,0.0,True,False,307408,4216.199592049693,0.013715321631348868,0.020840952986505477,34122288,711141,1.0250190300837974
MultiNB0.0,12:12,20,0.845945945945946,0.04990860895302537,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27837837837837837,0.27297297297297296,0.7078147220426632,0.7760146797646797,0.7280005107581172,True,False,657469,964.7056545910779,0.0014673021155234358,0.009452122423228286,72979059,689807,0.9797998841009995
MultiNB0.5,12:12,20,0.8027027027027028,0.05802948798265915,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27837837837837837,0.27297297297297296,0.6074867167146578,0.8445228382728382,0.6973319716059653,True,False,657469,964.7056545910779,0.0014673021155234358,0.009452122423228286,72979059,689807,0.9797998841009995
MultiNB1.0,12:12,20,0.8324324324324325,0.058343332824115954,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27837837837837837,0.27297297297297296,0.6539340071693013,0.8490682928182929,0.7319390156888474,True,False,657469,964.7056545910779,0.0014673021155234358,0.009452122423228286,72979059,689807,0.9797998841009995
MultiNB2.0,12:12,20,0.8527027027027027,0.060116152485230334,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27837837837837837,0.27297297297297296,0.7095886752136752,0.8243256743256744,0.7506556819947552,True,False,657469,964.7056545910779,0.0014673021155234358,0.009452122423228286,72979059,689807,0.9797998841009995
MultiNB15.0,12:12,20,0.8783783783783784,0.04720067350425129,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27837837837837837,0.27297297297297296,0.7865596903096903,0.7705649905649906,0.7681148081153129,True,False,657469,964.7056545910779,0.0014673021155234358,0.009452122423228286,72979059,689807,0.9797998841009995
MultiNB0.0,1:3,20,0.8391891891891892,0.05161737636428183,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2779279279279279,0.27432432432432435,0.8550198412698414,0.5203817016317017,0.6286755341321904,True,False,835281,4821.814077709758,0.0057726849739306385,0.01514055943044511,92716191,1403775,0.966725269699658
MultiNB0.5,1:3,20,0.8067567567567566,0.06524382543012601,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2779279279279279,0.27432432432432435,0.7017246642246642,0.5687985625485625,0.6105894090018802,True,False,835281,4821.814077709758,0.0057726849739306385,0.01514055943044511,92716191,1403775,0.966725269699658
MultiNB1.0,1:3,20,0.8027027027027026,0.05988789136800092,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2779279279279279,0.27432432432432435,0.9563888888888888,0.31955905205905205,0.4504044566544566,True,False,835281,4821.814077709758,0.0057726849739306385,0.01514055943044511,92716191,1403775,0.966725269699658
MultiNB2.0,1:3,20,0.7256756756756758,0.04296787323130985,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2779279279279279,0.27432432432432435,0.0,0.0,0.0,True,False,835281,4821.814077709758,0.0057726849739306385,0.01514055943044511,92716191,1403775,0.966725269699658
MultiNB15.0,1:3,20,0.7256756756756758,0.04296787323130985,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2779279279279279,0.27432432432432435,0.0,0.0,0.0,True,False,835281,4821.814077709758,0.0057726849739306385,0.01514055943044511,92716191,1403775,0.966725269699658
MultiNB0.0,15:15,20,0.8608108108108109,0.04123282784430366,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27072072072072073,0.29594594594594603,0.7427496114996115,0.8061618936618938,0.7649525348307487,True,False,655410,956.4554354490333,0.0014593238361468902,0.009349391502547542,72750510,680173,0.9912281625242214
MultiNB0.5,15:15,20,0.8297297297297297,0.0628632613492595,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27072072072072073,0.29594594594594603,0.6661372777549248,0.8510281385281386,0.7375323191531156,True,False,655410,956.4554354490333,0.0014593238361468902,0.009349391502547542,72750510,680173,0.9912281625242214
MultiNB1.0,15:15,20,0.8567567567567569,0.048422899640997094,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27072072072072073,0.29594594594594603,0.71943272005772,0.8436105561105564,0.7666002794006422,True,False,655410,956.4554354490333,0.0014593238361468902,0.009349391502547542,72750510,680173,0.9912281625242214
MultiNB2.0,15:15,20,0.8743243243243242,0.03848386720513011,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27072072072072073,0.29594594594594603,0.7587035880785881,0.8394438894438896,0.7861204662801641,True,False,655410,956.4554354490333,0.0014593238361468902,0.009349391502547542,72750510,680173,0.9912281625242214
MultiNB15.0,15:15,20,0.8662162162162164,0.03771698847825099,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27072072072072073,0.29594594594594603,0.7977172827172827,0.7513875013875014,0.7599761104497273,True,False,655410,956.4554354490333,0.0014593238361468902,0.009349391502547542,72750510,680173,0.9912281625242214
MultiNB0.0,20:20,20,0.8581081081081081,0.05464207194366413,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26441441441441443,0.3148648648648649,0.7617480191377249,0.7878078865578866,0.7686645522575094,True,False,656721,923.4278531645015,0.0014061189655340722,0.009314704664784837,72896031,679005,0.9850608553708501
MultiNB0.5,20:20,20,0.8527027027027028,0.06131919624074826,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26441441441441443,0.3148648648648649,0.7324123803612967,0.8315055777555778,0.76983044518199,True,False,656721,923.4278531645015,0.0014061189655340722,0.009314704664784837,72896031,679005,0.9850608553708501
MultiNB1.0,20:20,20,0.85,0.05161737636428183,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26441441441441443,0.3148648648648649,0.741986620405738,0.8023563936063937,0.7618504583574526,True,False,656721,923.4278531645015,0.0014061189655340722,0.009314704664784837,72896031,679005,0.9850608553708501
MultiNB2.0,20:20,20,0.8594594594594597,0.052407349809906266,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26441441441441443,0.3148648648648649,0.7650879063746711,0.7981897269397269,0.7730002555624781,True,False,656721,923.4278531645015,0.0014061189655340722,0.009314704664784837,72896031,679005,0.9850608553708501
MultiNB15.0,20:20,20,0.8621621621621622,0.045144035374297474,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26441441441441443,0.3148648648648649,0.8159566128316129,0.7357654845154846,0.7637773392793591,True,False,656721,923.4278531645015,0.0014061189655340722,0.009314704664784837,72896031,679005,0.9850608553708501
MultiNB0.0,3:5,20,0.8067567567567566,0.056869257871623835,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27342342342342346,0.2878378378378379,0.710999555999556,0.6056080031080031,0.6341474085433567,True,False,1532735,1700.2152804865623,0.0011092689085109705,0.010661727959238618,170133585,1813918,1.0873062205795523
MultiNB0.5,3:5,20,0.7310810810810813,0.08039120928505865,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27342342342342346,0.2878378378378379,0.5395664833532481,0.7109422521922522,0.5962901916230251,True,False,1532735,1700.2152804865623,0.0011092689085109705,0.010661727959238618,170133585,1813918,1.0873062205795523
MultiNB1.0,3:5,20,0.7581081081081082,0.07474084761635047,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27342342342342346,0.2878378378378379,0.594639142032718,0.6692755855255855,0.6080747506084698,True,False,1532735,1700.2152804865623,0.0011092689085109705,0.010661727959238618,170133585,1813918,1.0873062205795523
MultiNB2.0,3:5,20,0.7945945945945947,0.06303731778211136,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27342342342342346,0.2878378378378379,0.6833493630552454,0.6295533633033633,0.6326175021054883,True,False,1532735,1700.2152804865623,0.0011092689085109705,0.010661727959238618,170133585,1813918,1.0873062205795523
MultiNB15.0,3:5,20,0.827027027027027,0.07119967498551077,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27342342342342346,0.2878378378378379,0.8849603174603174,0.4986467698967698,0.603795601057682,True,False,1532735,1700.2152804865623,0.0011092689085109705,0.010661727959238618,170133585,1813918,1.0873062205795523
MultiNB0.0,4:6,20,0.8094594594594595,0.05161737636428184,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2810810810810811,0.2648648648648648,0.6345260295260295,0.6663079975579976,0.6445219318080402,True,False,1744319,1616.0723993682957,0.0009264775533421901,0.010049193983439956,193619409,1945719,0.9999029134005878
MultiNB0.5,4:6,20,0.7459459459459461,0.07758216267247203,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2810810810810811,0.2648648648648648,0.5292273494479377,0.7697993672993673,0.6140314556618904,True,False,1744319,1616.0723993682957,0.0009264775533421901,0.010049193983439956,193619409,1945719,0.9999029134005878
MultiNB1.0,4:6,20,0.7513513513513514,0.07332248630405695,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2810810810810811,0.2648648648648648,0.5398537655155302,0.7115268065268066,0.6013433527020483,True,False,1744319,1616.0723993682957,0.0009264775533421901,0.010049193983439956,193619409,1945719,0.9999029134005878
MultiNB2.0,4:6,20,0.7770270270270271,0.06501952283091572,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2810810810810811,0.2648648648648648,0.5857287157287157,0.6637887112887114,0.607150652487609,True,False,1744319,1616.0723993682957,0.0009264775533421901,0.010049193983439956,193619409,1945719,0.9999029134005878
MultiNB15.0,4:6,20,0.8391891891891892,0.05090488703199287,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2810810810810811,0.2648648648648648,0.7584920634920634,0.6046196858696858,0.6579486818650905,True,False,1744319,1616.0723993682957,0.0009264775533421901,0.010049193983439956,193619409,1945719,0.9999029134005878
MultiNB0.0,4:7,20,0.8094594594594595,0.054374052807380294,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26801801801801806,0.30405405405405406,0.7005533355533357,0.6377039549717568,0.6577687380631673,True,False,2458899,1931.9063124282193,0.0007856794087224482,0.009941814982607631,272937789,2713497,0.9824471846952639
MultiNB0.5,4:7,20,0.7743243243243244,0.058764364608537574,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26801801801801806,0.30405405405405406,0.5981748276233569,0.7591950902554618,0.657560275171782,True,False,2458899,1931.9063124282193,0.0007856794087224482,0.009941814982607631,272937789,2713497,0.9824471846952639
MultiNB1.0,4:7,20,0.8040540540540541,0.0709298566054633,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.26801801801801806,0.30405405405405406,0.6611201298701298,0.7388254160699981,0.6857535066531062,True,False,2458899,1931.9063124282193,0.0007856794087224482,0.009941814982607631,272937789,2713497,0.9824471846952639
