Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso1.0,25:25,20,0.8421787709497206,0.020968334375236115,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21095505617977528,0.22541899441340782,0.8892590450485187,0.3426216825953193,0.49043514698333723,False,False,647802,845.1473244352135,0.0013046383376945632,0.0020629945338525146,345926268,713644,0.0008590587864810544
MultiNB0.0,25:25,20,0.8865921787709496,0.021353647881135633,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21095505617977528,0.22541899441340782,0.8111487747612939,0.6558256955813354,0.720372659219233,False,False,647802,845.1473244352135,0.0013046383376945632,0.0020629945338525146,345926268,713644,1.0107294358461383
Logistic Lasso1.0,30:30,20,0.846368715083799,0.02079083135857921,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21516853932584268,0.2128491620111732,0.8979730481936364,0.3128577719477651,0.459797436078202,False,False,675552,857.6875888107511,0.0012696100208581295,0.002037620681445337,360744768,735061,0.0007018704703708967
MultiNB0.0,30:30,20,0.8946927374301674,0.01602436816677483,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21516853932584268,0.2128491620111732,0.8119053214746256,0.6546125246100061,0.723587992210678,False,False,675552,857.6875888107511,0.0012696100208581295,0.002037620681445337,360744768,735061,0.9748505666477192
Logistic Lasso1.0,50:50,20,0.8220670391061452,0.024687112279221112,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2141385767790262,0.21592178770949721,0.8453049728049727,0.21820615563851353,0.3424042103299421,False,False,676524,853.9672124853506,0.001262286648345588,0.0020181290450632895,361263816,729077,0.00042341439475909206
MultiNB0.0,50:50,20,0.8608938547486034,0.015391036104978663,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2141385767790262,0.21592178770949721,0.7491019309553792,0.5310512098739314,0.6191967360308637,False,False,676524,853.9672124853506,0.001262286648345588,0.0020181290450632895,361263816,729077,0.9777761025477293
Logistic Lasso1.0,60:60,20,0.8103351955307263,0.018143527864865908,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720666,0.9655753968253968,0.1492860477939792,0.25613271847425995,False,False,664843,838.2744180756084,0.001260860711589967,0.0019787527658313812,355026162,702509,0.000407840648092858
MultiNB0.0,60:60,20,0.8720670391061454,0.02089564716118998,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720666,0.8344623601036645,0.5325188126464946,0.6474851932410026,False,False,664843,838.2744180756084,0.001260860711589967,0.0019787527658313812,355026162,702509,0.9826459780730188
Logistic Lasso500.0,25:25,20,0.8879888268156426,0.01698866055813963,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2160112359550562,0.21033519553072627,0.8961572156627797,0.5306514865061762,0.664043210349124,False,False,649576,846.3486279305946,0.0013029247200182805,0.002062483374346546,346873584,715421,0.0069284425532963045
Logistic Lasso50.0,25:25,20,0.8782122905027935,0.020419739533516248,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21516853932584273,0.2128491620111732,0.8940583870874791,0.48988330591572266,0.6281975741836496,False,False,656307,852.7455658049474,0.0012993089602959399,0.002071265075323381,350467938,725912,0.0033284728031241478
