Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
svm,1:1,15,0.7649572649572651,0.043581363364040906,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28484848484848485,0.31025641025641026,0.6259917131074056,0.6228792390760355,0.6191469365002302
logistic,1:1,15,0.7914529914529916,0.04012545160446326,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28484848484848485,0.31025641025641026,0.6870651173167215,0.6410375975692529,0.6547947284439405
logistic_lasso,1:1,15,0.8136752136752139,0.04209781318299061,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28484848484848485,0.31025641025641026,0.718781009272058,0.6755043052831,0.690469374653526
Naive Bayes,1:1,15,0.7076923076923076,0.03632227241175345,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28484848484848485,0.31025641025641026,0.5197819971259503,0.8109286924618732,0.6307655273236684
svm,2:2,15,0.8735042735042737,0.02955831874494117,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2932178932178932,0.28547008547008546,0.8110575851155786,0.7318319767358669,0.7640433940107516
logistic,2:2,15,0.8683760683760685,0.032252926947202054,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2932178932178932,0.28547008547008546,0.8229621590999301,0.6940379307953679,0.7458218395566739
logistic_lasso,2:2,15,0.8897435897435899,0.024682955689219934,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2932178932178932,0.28547008547008546,0.8283505961241862,0.7905185900632126,0.8018657722578645
Naive Bayes,2:2,15,0.800854700854701,0.05615065882275842,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2932178932178932,0.28547008547008546,0.6621928077377982,0.6529129124964366,0.6501041288287509
svm,3:3,15,0.8632478632478634,0.035549802295872526,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28831168831168835,0.3,0.795736629363566,0.7419158709073008,0.7635891569359387
logistic,3:3,15,0.8581196581196583,0.03845204061265637,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28831168831168835,0.3,0.8088466115966918,0.7069046105627073,0.7484311371550814
logistic_lasso,3:3,15,0.9059829059829061,0.030578707384612533,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28831168831168835,0.3,0.8431485012138896,0.8469261842787218,0.8427567820411996
Naive Bayes,3:3,15,0.8136752136752138,0.03828067637018581,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28831168831168835,0.3,0.6895275969518848,0.7155762072240736,0.6957651045654655
svm,4:4,15,0.8871794871794874,0.04346387054732007,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28427128427128423,0.3119658119658119,0.8699481055580128,0.7552876135221672,0.8028757185899924
logistic,4:4,15,0.8726495726495728,0.05159448982149255,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28427128427128423,0.3119658119658119,0.8742125931439658,0.6932481394710609,0.7677206149497866
logistic_lasso,4:4,15,0.9213675213675215,0.023344444929483173,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28427128427128423,0.3119658119658119,0.8969523510112968,0.8484886631928965,0.8702096569797072
Naive Bayes,4:4,15,0.8350427350427352,0.04388204325809721,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28427128427128423,0.3119658119658119,0.7376342568083086,0.7493449682433283,0.7383093642404366
svm,5:5,15,0.8743589743589746,0.03837597319768146,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2894660894660895,0.2965811965811965,0.8169396647932118,0.7589423930873207,0.7819842345395133
logistic,5:5,15,0.8632478632478634,0.0425637593093632,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2894660894660895,0.2965811965811965,0.8169168960018205,0.7094244027577362,0.752660776916527
logistic_lasso,5:5,15,0.9145299145299147,0.023250376938009305,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2894660894660895,0.2965811965811965,0.8590125269255704,0.8579164008294443,0.8554851253290316
Naive Bayes,5:5,15,0.8273504273504275,0.049069060151819915,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2894660894660895,0.2965811965811965,0.6845076085654199,0.7869436553784381,0.7264782618057669
svm,6:6,15,0.9051282051282052,0.03966769704571723,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.29523809523809524,0.2794871794871795,0.8465460430864826,0.821063372683096,0.8296945017728045
logistic,6:6,15,0.8923076923076925,0.04815236246496847,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.29523809523809524,0.2794871794871795,0.8447498546293484,0.772541784249743,0.8011604691586968
logistic_lasso,6:6,15,0.9256410256410258,0.022548557193628915,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.29523809523809524,0.2794871794871795,0.8739871895301595,0.8672819923885704,0.8654172010349054
Naive Bayes,6:6,15,0.82991452991453,0.05030406485320398,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.29523809523809524,0.2794871794871795,0.6588299605337055,0.8212099492759642,0.7250054276679897
svm,7:7,15,0.8786324786324788,0.03996126402584943,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28773448773448773,0.3017094017094017,0.8400312511066538,0.7458607208908374,0.7844475271715885
logistic,7:7,15,0.8615384615384618,0.03721630949927736,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28773448773448773,0.3017094017094017,0.8347122432066569,0.6830706903234192,0.7456812637410923
logistic_lasso,7:7,15,0.9196581196581198,0.028654794212376426,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28773448773448773,0.3017094017094017,0.8982588728332436,0.830095361145494,0.8599918425637684
Naive Bayes,7:7,15,0.8341880341880343,0.03548810169577212,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.28773448773448773,0.3017094017094017,0.6946173361830251,0.8020575689180335,0.7406939202435109
svm,8:8,15,0.8880341880341882,0.04225369946772062,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2975468975468975,0.2726495726495726,0.8049506643329498,0.7778123888993455,0.7884890557013319
logistic,8:8,15,0.8803418803418804,0.04307556638753556,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2975468975468975,0.2726495726495726,0.8107186024168122,0.7359507079072298,0.7675857589621912
logistic_lasso,8:8,15,0.918803418803419,0.028347220430388027,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2975468975468975,0.2726495726495726,0.8567699242870869,0.8475183825835999,0.8482979065834015
Naive Bayes,8:8,15,0.8589743589743591,0.03440104580768908,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2975468975468975,0.2726495726495726,0.7024434725046919,0.8501169458560762,0.7652070089639962
svm,9:9,15,0.876923076923077,0.029533594090890597,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2949494949494949,0.28034188034188035,0.8408194382854499,0.7070236867869236,0.7606239040399456
logistic,9:9,15,0.8606837606837608,0.032388539011104986,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2949494949494949,0.28034188034188035,0.8233706999341674,0.6586108326916477,0.7236681740097523
logistic_lasso,9:9,15,0.8974358974358976,0.02477158418152043,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2949494949494949,0.28034188034188035,0.8492025616855338,0.777372201627929,0.8066656855509213
Naive Bayes,9:9,15,0.8470085470085472,0.05367630245506866,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2949494949494949,0.28034188034188035,0.7093757887502559,0.8060730444927425,0.7471324169154688
svm,10:10,15,0.8794871794871797,0.03270278029010085,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2914862914862915,0.29059829059829057,0.8439597199164436,0.7267807759743244,0.7771218484288789
logistic,10:10,15,0.8726495726495729,0.03610036253323571,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2914862914862915,0.29059829059829057,0.849206304531382,0.6903465590562364,0.7578552183643569
logistic_lasso,10:10,15,0.9034188034188035,0.035302352868484425,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2914862914862915,0.29059829059829057,0.8664380318384896,0.7888206803844952,0.822769455727727
Naive Bayes,10:10,15,0.8376068376068379,0.03197997766473454,309,0.75,complex,02/02/2000,01/09/2019,minutes:statements,0.2914862914862915,0.29059829059829057,0.6898315664054333,0.8033029855189743,0.7384161552031172
