Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
svm,1:1,10,0.7692307692307693,0.039306947991681766,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2926406926406927,0.28717948717948716,0.5884285908993554,0.6369798622430201,0.6075257576198577
logistic,1:1,10,0.7974358974358975,0.053108500454379426,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2926406926406927,0.28717948717948716,0.6470999796912575,0.6463342622289991,0.6441557045330631
logistic_lasso,1:1,10,0.8153846153846154,0.026399051643556427,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2926406926406927,0.28717948717948716,0.6743726685608245,0.696098848519901,0.6785307277076741
Naive Bayes,1:1,10,0.6705128205128206,0.06069128399253654,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2926406926406927,0.28717948717948716,0.4518661843562394,0.7513416758679917,0.563073107237851
svm,2:2,10,0.8641025641025643,0.02820512820512819,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28311688311688316,0.3153846153846153,0.8508978422678114,0.7001132201132201,0.7612473161158312
logistic,2:2,10,0.8602564102564102,0.03413724860434447,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28311688311688316,0.3153846153846153,0.8604207668574677,0.6723992673992674,0.7474529029557081
logistic_lasso,2:2,10,0.8846153846153847,0.03580574370197166,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28311688311688316,0.3153846153846153,0.8542228271347264,0.7761451881451882,0.8105499543232686
Naive Bayes,2:2,10,0.8141025641025641,0.03813967892472696,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28311688311688316,0.3153846153846153,0.7414676471581843,0.6491936396936397,0.6883012556007969
svm,3:3,10,0.8705128205128206,0.046029033515426254,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2935064935064935,0.2846153846153846,0.8064850154108466,0.7434669382904676,0.7660547697777979
logistic,3:3,10,0.8564102564102566,0.051217908603687655,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2935064935064935,0.2846153846153846,0.80109137096134,0.6853220439691028,0.72864915244091
logistic_lasso,3:3,10,0.8935897435897436,0.02981975217849488,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2935064935064935,0.2846153846153846,0.8201131971730977,0.8074056531703591,0.8117593392988309
Naive Bayes,3:3,10,0.8153846153846154,0.02512297172085311,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2935064935064935,0.2846153846153846,0.6722896660227995,0.7055075120957474,0.678091072341463
