date,DFEDTAR
20000101,5.0
20000102,5.5
20000103,5.5
20000104,5.5
20000105,5.5
20000106,5.5
20000107,5.5
20000108,5.5
20000109,5.5
20000110,5.5
20000111,5.5
20000112,5.5
20000113,5.5
20000114,5.5
20000115,5.5
20000116,5.5
20000117,5.5
20000118,5.5
20000119,5.5
20000120,5.5
20000121,5.5
20000122,5.5
20000123,5.5
20000124,5.5
20000125,5.5
20000126,5.5
20000127,5.5
20000128,5.5
20000129,5.5
20000130,5.5
20000131,5.5
20000201,5.5
20000202,5.75
20000203,5.75
20000204,5.75
20000205,5.75
20000206,5.75
20000207,5.75
20000208,5.75
20000209,5.75
20000210,5.75
20000211,5.75
20000212,5.75
20000213,5.75
20000214,5.75
20000215,5.75
20000216,5.75
20000217,5.75
20000218,5.75
20000219,5.75
20000220,5.75
20000221,5.75
20000222,5.75
20000223,5.75
20000224,5.75
20000225,5.75
20000226,5.75
20000227,5.75
20000228,5.75
20000229,5.75
20000301,5.75
20000302,5.75
20000303,5.75
20000304,5.75
20000305,5.75
20000306,5.75
20000307,5.75
20000308,5.75
20000309,5.75
20000310,5.75
20000311,5.75
20000312,5.75
20000313,5.75
20000314,5.75
20000315,5.75
20000316,5.75
20000317,5.75
20000318,5.75
20000319,5.75
20000320,5.75
20000321,6.0
20000322,6.0
20000323,6.0
20000324,6.0
20000325,6.0
20000326,6.0
20000327,6.0
20000328,6.0
20000329,6.0
20000330,6.0
20000331,6.0
20000401,6.0
20000402,6.0
20000403,6.0
20000404,6.0
20000405,6.0
20000406,6.0
20000407,6.0
20000408,6.0
20000409,6.0
20000410,6.0
20000411,6.0
20000412,6.0
20000413,6.0
20000414,6.0
20000415,6.0
20000416,6.0
20000417,6.0
20000418,6.0
20000419,6.0
20000420,6.0
20000421,6.0
20000422,6.0
20000423,6.0
20000424,6.0
20000425,6.0
20000426,6.0
20000427,6.0
20000428,6.0
20000429,6.0
20000430,6.0
20000501,6.0
20000502,6.0
20000503,6.0
20000504,6.0
20000505,6.0
20000506,6.0
20000507,6.0
20000508,6.0
20000509,6.0
20000510,6.0
20000511,6.0
20000512,6.0
20000513,6.0
